,and then for 4 we have 8 12 16 20 and 24 so looking at these three lists what is the LCM of 2 3 & 4 what is the least common multiple of these numbers so we can see 
,that 12 is the lowest number that is found in each list so the LCM of 2 3 & 4 is 12 now the next thing we're going to talk about is how to find the HCF the HTF stands for the highest common factor this is the same as the GCF which is known as the greatest common factor so let's start with a simple example let's use 12 and 16 so 
,what is the HCF of 12 and 16 so let's write out the factors of 12 numbers that can go into 12 are 1 2 3 4 6 and 12 now the factors of 16 are 1 2 4 8 and 16 so 16 is 
,divisible by all of those numbers now what is the highest number that is found in both lists the highest factor found in each list is 4 so the HCF of 12 and 16 is 4 
,now let's try another example what is the HGF of these two numbers 24 and 30 go ahead and work on that example so let's write out the factors of 24 so one can go into 24 so you can go into it 3 4 6 8 12 and 24 factors of 30 are 1 2 3 4 doesn't go into 35 does 6 7 8 and 9 they can't go into 30 you can't divide 30 by 7 8 and 9 and get an integer you could divide it by 10 you'll get 3 15 is a factor of 30 and so is 30 so now the highest common factor in these two lists is 6 that is the highest factor that can be found in both lists so that's the HTF for 24 and 30 now let's try three numbers 40 60 and 75 go ahead and find the HTF of those three numbers so 
,let's begin with 40 so we have 1 2 4 can go into 40 five six and seven does it go into 40 a can go into 40 the next number is 10 15 does it go into 40 but you could 
,divide 40 by 20 and 40 itself now factors of 60 this is gonna be a long one it's one two three four five six seven does it go into it the next number is ten and then twelve fifteen twenty thirty and sixty factors of 75 are 1 3 5 15 25 and 75 so the highest common factor for these three lists is 5 so that's the HTF for 40 60 and 
,75 it's 5 so that's basically it for this video now you know how to find the LCM and the HTF of two or three numbers thanks again for watching and don't forget to subscribe
,
pcluEJNUNao,"introduction you are at an ATM Center with your father you see a message on the screen that says this machine disperses money in multiples of 1000 you ask your father what the message means he says it means that he can either withdraw 1,000 or 2,000 or 3,000 but not 1,500 2700 or 3,800 you return home confused you're also curious to know more about multiples in this lesson you will learn about factors and multiples in detail objectives at the end of this lesson you'll be able to define factors and multiples list some interesting facts about factors and multiples define perfect numbers define co-prime numbers understand highest common factor HCF understand least common multiple LCM define even and odd numbers define Co prime numbers a factor of a number is an exact divisor of that number in other words the factor of a number divides the number exactly for example numbers 1 2 5 and 10 are all exact divisors of 10 therefore 1 2 5 and 10 a factors of 10 similarly 1 2 4 & 8 are exact divisors of 8 therefore 1 2 4 & 8 a factors of 8 you can see that factors are always smaller than or equal to the number itself number ten is the product of two "
